reference_area,sex,year,total,0,1-14,15-24,15-29,<25,25-34,30-34,35-39,40-48,40+,49+,not_classiefied,,,
Armenia,Male,2021,659.2,17.6,11.4,,44.5,,,16.3,25.8,325.2,,118.6,99.7,,,
Armenia,Female,2021,762.9,21.3,24.6,,75.8,,,16.7,39.7,266.5,,51.4,266.9,,,
Australia,Total,2011,11216.3,935.8,1068.0,,1814.8,,,989.4,1833.0,2835.6,,1739.6,,,,
Australia,Male,2011,6109.6,456.9,365.8,,618.0,,,450.3,980.3,1882.6,,1355.8,,,,
Australia,Female,2011,5106.7,478.9,702.2,,1196.9,,,539.1,852.8,953.1,,383.8,,,,
Australia,Total,2012,11356.9,1048.9,1080.0,,1894.7,,,1252.6,1763.7,2689.5,,1627.5,,,,
Australia,Male,2012,6166.0,496.4,373.6,,659.8,,,611.2,956.5,1798.0,,1270.4,,,,
Australia,Female,2012,5190.9,552.5,706.4,,1234.9,,,641.3,807.2,891.5,,357.1,,,,
Australia,Total,2013,11468.4,1058.0,1117.3,,1927.8,,,1161.2,1834.8,2710.1,,1659.2,,,,
Australia,Male,2013,6205.2,512.7,389.4,,678.3,,,553.3,986.6,1800.8,,1284.2,,,,
Australia,Female,2013,5263.1,545.3,727.9,,1249.5,,,607.9,848.2,909.3,,375.0,,,,
Australia,Total,2014,11558.2,923.3,1116.8,,1917.6,,,1069.9,1961.3,2883.9,,1685.3,,,,
Australia,Male,2014,6239.6,422.8,402.3,,650.8,,,477.8,1056.1,1915.2,,1314.6,,,,
Australia,Female,2014,5318.6,500.5,714.4,,1266.8,,,592.2,905.2,968.8,,370.7,,,,
Australia,Total,2015,11788.0,957.3,1116.0,,2026.2,,,1259.9,1897.0,2855.0,,1676.5,,,,
Australia,Male,2015,6336.0,444.6,398.3,,706.1,,,586.9,1029.1,1883.1,,1287.8,,,,
Australia,Female,2015,5452.1,512.7,717.7,,1320.1,,,673.0,868.0,971.9,,388.7,,,,
Australia,Total,2016,11952.1,981.9,1121.7,,2051.0,,,1072.4,2052.0,2960.8,,1712.3,0.0,0.0,,
Australia,Male,2016,6387.3,453.2,409.1,,717.0,,,462.4,1090.0,1951.3,,1304.4,0.0,,,
Australia,Female,2016,5564.8,528.7,712.7,,1334.0,,,610.0,962.0,1009.5,,407.9,0.0,,,
Australia,Total,2017,12233.5,1087.1,1153.0,,2128.6,,,1240.4,2033.9,2903.6,,1686.9,0.0,0.0,,
Australia,Male,2017,6515.0,503.7,427.2,,735.4,,,557.2,1088.3,1914.7,,1288.5,0.0,,,
Australia,Female,2017,5718.5,583.4,725.9,,1393.1,,,683.2,945.6,988.9,,398.4,0.0,,,
Australia,Total,2018,12566.6,1141.6,1166.6,,2220.1,,,1316.5,2109.9,2959.9,,1652.1,0.0,0.0,,
Australia,Male,2018,6666.5,533.7,433.2,,780.8,,,596.4,1126.1,1940.6,,1255.6,0.0,,,
Australia,Female,2018,5900.2,607.9,733.3,,1439.3,,,720.1,983.8,1019.3,,396.4,0.0,,,
Australia,Total,2019,12859.0,1011.5,1167.3,,2249.8,,,1238.6,2332.2,3185.8,,1673.8,0.0,0.0,,
Australia,Male,2019,6799.6,457.3,439.6,,789.5,,,528.8,1244.0,2075.4,,1265.0,0.0,,,
Australia,Female,2019,6059.3,554.1,727.7,,1460.3,,,709.9,1088.2,1110.4,,408.8,0.0,,,
Australia,Total,2020,12660.9,1067.5,1195.3,,2314.1,,,1319.2,2333.3,2937.0,,1494.7,0.0,0.0,,
Australia,Male,2020,6678.5,478.0,457.8,,855.1,,,600.2,1263.8,1912.5,,1111.0,0.0,,,
Australia,Female,2020,5982.4,589.5,737.4,,1459.0,,,719.0,1069.5,1024.4,,383.7,0.0,,,
Austria,Total,2011,4054.5,465.5,274.6,,532.0,,,348.9,609.1,1278.3,,546.1,,,,
Austria,Male,2011,2162.4,197.6,84.2,,129.4,,,145.5,374.7,812.1,,419.0,,,,
Austria,Female,2011,1892.1,267.9,190.4,,402.6,,,203.4,234.4,466.2,,127.1,,,,
Austria,Total,2012,4087.2,483.7,291.2,,550.0,,,364.8,599.8,1264.6,,533.2,,,,
Austria,Male,2012,2171.5,203.0,93.1,,136.8,,,148.8,370.8,813.1,,405.8,,,,
Austria,Female,2012,1915.7,280.6,198.0,,413.2,,,215.9,229.0,451.5,,127.4,,,,
Austria,Total,2013,4106.8,502.9,294.8,,557.1,,,358.3,625.7,1264.4,,503.6,,,,
Austria,Male,2013,2180.3,217.2,94.1,,144.7,,,141.0,388.1,806.9,,388.4,,,,
Austria,Female,2013,1926.5,285.8,200.7,,412.4,,,217.3,237.6,457.5,,115.2,,,,
Austria,Total,2014,4115.5,474.8,318.9,,583.5,,,374.9,651.7,1226.6,,485.1,,,,
Austria,Male,2014,2175.4,196.2,105.6,,150.4,,,156.7,409.1,785.6,,371.9,,,,
Austria,Female,2014,1940.1,278.6,213.3,,433.2,,,218.2,242.6,441.0,,113.2,,,,
Austria,Total,2015,4150.5,505.1,321.0,,609.6,,,384.1,651.2,1219.9,,459.6,,,,
Austria,Male,2015,2194.2,215.9,105.7,,166.3,,,158.1,408.6,790.6,,348.9,,,,
Austria,Female,2015,1956.3,289.2,215.3,,443.2,,,226.0,242.5,429.3,,110.8,,,,
Austria,Total,2016,4222.8,489.2,327.2,,614.9,,,409.9,664.2,1256.2,,461.2,,,,
Austria,Male,2016,2234.5,205.7,112.6,,158.2,,,172.8,417.1,814.9,,353.3,,,,
Austria,Female,2016,1988.3,283.6,214.7,,456.7,,,237.1,247.1,441.3,,107.8,,,,
Austria,Total,2017,4262.7,509.0,321.8,,626.4,,,436.7,676.0,1240.4,,452.4,,,,
Austria,Male,2017,2254.4,214.8,106.6,,167.5,,,191.1,432.1,796.9,,345.4,,,,
Austria,Female,2017,2008.3,294.2,215.2,,458.9,,,245.6,243.9,443.5,,107.0,,,,
Austria,Total,2018,4322.7,547.3,306.3,,625.2,,,420.4,690.3,1281.9,,451.2,,,,
Austria,Male,2018,2295.5,236.0,98.1,,167.0,,,180.0,431.7,837.6,,345.2,,,,
Austria,Female,2018,2027.1,311.4,208.2,,458.2,,,240.3,258.6,444.3,,106.0,,,,
Austria,Total,2019,4358.8,527.4,301.1,,624.5,,,423.0,719.0,1318.5,,445.3,,,,
Austria,Male,2019,2313.1,225.2,96.0,,164.2,,,168.6,452.8,864.8,,341.6,,,,
Austria,Female,2019,2045.7,302.2,205.1,,460.4,,,254.3,266.2,453.7,,103.7,,,,
Austria,Total,2020,4318.4,668.1,326.4,,646.7,,,390.1,681.1,1213.4,,392.6,,,,
Austria,Male,2020,2285.3,302.5,111.2,,191.5,,,154.4,431.7,793.3,,300.7,,,,
Austria,Female,2020,2033.0,365.6,215.2,,455.1,,,235.6,249.4,420.1,,91.9,,,,
Austria,Total,2021,4305.9,494.9,385.0,,729.8,,,473.3,778.1,1095.1,,349.7,,,,
Austria,Male,2021,2288.7,203.6,136.2,,223.3,,,226.2,509.3,729.4,,260.7,,,,
Austria,Female,2021,2017.2,291.4,248.8,,506.5,,,247.1,268.8,365.7,,89.0,,,,
Azerbaijan,Total,2011,4375.3,4.4,99.5,,121.1,,,524.8,2801.2,621.2,,203.1,,,,
Azerbaijan,Male,2011,2250.2,1.8,21.1,,56.2,,,231.3,1418.2,389.0,,132.5,,,,
Azerbaijan,Female,2011,2125.1,2.6,78.4,,64.9,,,293.5,1383.0,232.1,,70.6,,,,
Azerbaijan,Total,2012,4445.3,4.9,95.9,,129.6,,,595.7,2782.4,634.6,,202.3,,,,
Azerbaijan,Male,2012,2291.8,2.3,21.5,,57.8,,,263.1,1420.1,388.2,,138.8,,,,
Azerbaijan,Female,2012,2153.5,2.7,74.4,,71.8,,,332.5,1362.3,246.3,,63.5,,,,
Azerbaijan,Total,2013,4521.2,5.0,92.3,,116.9,,,618.7,2854.4,633.1,,200.8,,,,
Azerbaijan,Male,2013,2337.5,2.7,19.5,,50.0,,,261.2,1465.8,398.7,,139.6,,,,
Azerbaijan,Female,2013,2183.7,2.3,72.8,,66.8,,,357.6,1388.7,234.3,,61.2,,,,
Azerbaijan,Total,2015,4671.6,6.1,101.1,,763.2,,,,2948.0,657.7,,195.6,,,,
Azerbaijan,Male,2015,2408.2,3.1,17.8,,321.3,,,,1518.0,411.4,,136.5,,,,
Azerbaijan,Female,2015,2263.4,2.9,83.3,,441.9,,,,1430.0,246.3,,59.0,,,,
Azerbaijan,Total,2016,4759.9,5.3,103.5,,781.8,,,,3011.4,663.6,,194.2,,,,
Azerbaijan,Male,2016,2465.7,3.2,18.8,,330.1,,,,1555.0,421.7,,136.8,,,,
Azerbaijan,Female,2016,2294.2,2.0,84.7,,451.7,,,,1456.4,241.9,,57.4,,,,
Azerbaijan,Total,2017,4822.1,5.1,105.5,,801.0,,,,3046.1,667.7,,196.6,,,,
Azerbaijan,Male,2017,2502.8,3.2,20.6,,337.5,,,,1574.6,428.4,,138.6,,,,
Azerbaijan,Female,2017,2319.3,1.9,85.0,,463.5,,,,1471.5,239.4,,58.1,,,,
Azerbaijan,Total,2018,4879.3,5.1,107.2,,822.0,,,,3076.0,670.2,,198.7,,,,
Azerbaijan,Male,2018,2529.4,3.2,23.0,,346.1,,,,1580.6,435.5,,140.9,,,,
Azerbaijan,Female,2018,2349.9,1.9,84.2,,475.8,,,,1495.4,234.7,,57.8,,,,
Azerbaijan,Total,2019,4938.5,5.2,110.4,,842.7,,,,3106.0,673.7,,200.6,,,,
Azerbaijan,Male,2019,2556.8,3.3,24.8,,356.1,,,,1586.4,443.2,,142.9,,,,
Azerbaijan,Female,2019,2381.7,1.9,85.6,,486.6,,,,1519.6,230.4,,57.7,,,,
Azerbaijan,Total,2020,4876.6,5.1,110.7,,840.2,,,,3048.2,672.7,,199.7,,,,
Azerbaijan,Male,2020,2525.1,3.2,25.1,,353.9,,,,1559.7,441.3,,141.9,,,,
Azerbaijan,Female,2020,2351.5,1.9,85.7,,486.3,,,,1488.5,231.4,,57.8,,,,
Azerbaijan,Total,2021,4988.2,5.3,109.7,,852.6,,,,3139.9,685.5,,195.3,,,,
Azerbaijan,Male,2021,2580.1,3.3,24.2,,358.5,,,,1611.6,445.3,,137.2,,,,
Azerbaijan,Female,2021,2408.1,1.9,85.5,,494.1,,,,1528.3,240.2,,58.0,,,,
Bangladesh,Total,2013,58072.9,,751.1,,7331.1,,,2288.5,3736.6,16858.1,,27107.6,,,,
Bangladesh,Male,2013,41226.8,,683.8,,3125.3,,,1597.7,3393.2,11454.5,,20972.3,,,,
Bangladesh,Female,2013,16846.2,,67.3,,4205.8,,,690.8,343.4,5403.6,,6135.4,,,,
Bangladesh,Total,2016,59529.8,31.0,1050.9,,6669.7,,,3374.7,4736.9,13226.2,,30440.5,,,,
Bangladesh,Male,2016,41761.0,16.2,295.2,,2220.9,,,1568.7,2719.1,9532.9,,25408.1,,,,
Bangladesh,Female,2016,17768.8,14.9,755.7,,4448.8,,,1806.0,2017.8,3693.2,,5032.4,,,,
Bangladesh,Total,2017,60827.6,,1144.9,,6045.1,,,4640.4,5145.4,13164.8,,30686.7,,,,
Bangladesh,Male,2017,42181.8,,360.1,,2181.1,,,1701.8,2300.0,8519.7,,27118.7,,,,
Bangladesh,Female,2017,18645.8,,784.8,,3863.9,,,2938.6,2845.4,4645.1,,3568.0,,,,
Barbados,Total,2015,128.2,1.9,2.7,,6.2,,,3.2,1.4,99.1,,13.0,0.7,,,
Barbados,Male,2015,63.9,0.6,1.4,,2.8,,,1.3,0.5,48.3,,8.7,0.4,,,
Barbados,Female,2015,64.3,1.3,1.3,,3.4,,,1.9,1.0,50.8,,4.3,0.3,,,
Barbados,Total,2016,133.0,2.8,2.2,,7.3,,,2.9,1.3,101.3,,14.2,0.9,,,
Barbados,Male,2016,67.6,1.2,1.1,,3.3,,,1.3,0.5,50.1,,9.4,0.6,,,
Barbados,Female,2016,65.4,1.5,1.1,,4.0,,,1.6,0.8,51.2,,4.8,0.3,,,
Barbados,Total,2017,129.8,2.8,2.3,,6.8,,,2.9,1.2,98.7,,13.8,1.3,,,
Barbados,Male,2017,66.1,1.1,1.3,,3.2,,,1.2,0.6,49.2,,8.9,0.7,,,
Barbados,Female,2017,63.6,1.6,1.0,,3.7,,,1.7,0.6,49.5,,4.9,0.6,,,
Barbados,Total,2018,128.1,2.6,2.5,,7.2,,,3.0,1.1,93.6,,16.9,1.2,,,
Barbados,Male,2018,65.6,0.9,1.2,,3.4,,,1.3,0.6,46.4,,11.3,0.6,,,
Barbados,Female,2018,62.5,1.7,1.3,,3.8,,,1.7,0.5,47.3,,5.7,0.6,,,
Barbados,Total,2019,125.0,2.2,2.5,,6.3,,,2.3,1.1,94.4,,15.4,0.9,,,
Barbados,Male,2019,62.3,0.9,1.4,,2.7,,,0.9,0.4,45.2,,10.0,0.8,,,
Barbados,Female,2019,62.6,1.3,1.1,,3.6,,,1.3,0.7,49.1,,5.4,0.2,,,
Belarus,Total,2017,4901.8,517.2,23.9,,216.5,,,67.5,120.7,3856.9,,98.3,0.8,,,
Belarus,Male,2017,2427.1,108.0,11.0,,59.1,,,26.7,27.9,2125.2,,69.1,0.1,,,
Belarus,Female,2017,2474.7,409.3,12.9,,157.3,,,40.8,92.9,1731.7,,29.3,0.7,,,
Belarus,Total,2018,4896.7,484.6,26.7,,203.5,,,60.5,120.5,3892.8,,108.3,,,,
Belarus,Male,2018,2457.9,103.4,11.9,,60.2,,,20.1,21.6,2165.3,,75.5,,,,
Belarus,Female,2018,2438.8,381.2,14.7,,143.3,,,40.4,98.9,1727.5,,32.8,,,,
Belgium,Total,2011,4509.3,475.9,160.7,,705.0,,,439.1,1356.6,782.6,,495.8,93.6,,,
Belgium,Male,2011,2461.9,225.9,51.7,,184.0,,,170.8,833.4,556.3,,377.4,62.4,,,
Belgium,Female,2011,2047.3,250.0,109.0,,521.0,,,268.2,523.2,226.3,,118.5,31.2,,,
Belgium,Total,2012,4523.9,451.4,159.8,,733.7,,,462.1,1361.6,793.7,,484.5,77.1,,,
Belgium,Male,2012,2466.1,212.0,52.5,,201.6,,,177.2,834.8,567.1,,368.8,52.0,,,
Belgium,Female,2012,2057.8,239.5,107.2,,532.1,,,284.9,526.8,226.6,,115.7,25.0,,,
Belgium,Total,2013,4530.3,465.3,161.0,,730.4,,,486.3,1344.2,785.2,,525.2,32.6,,,
Belgium,Male,2013,2450.5,214.2,54.4,,199.4,,,189.0,817.4,553.5,,399.1,23.7,,,
Belgium,Female,2013,2079.8,251.1,106.6,,531.0,,,297.4,526.8,231.8,,126.1,9.0,,,
Belgium,Total,2014,4543.5,459.9,155.9,,732.8,,,470.3,1319.5,844.2,,533.8,27.3,,,
Belgium,Male,2014,2435.3,209.3,56.5,,198.0,,,177.7,787.2,593.8,,393.7,19.2,,,
Belgium,Female,2014,2108.2,250.6,99.4,,534.8,,,292.6,532.3,250.4,,140.1,8.1,,,
Belgium,Total,2015,4551.6,491.0,148.8,,718.1,,,475.2,1350.4,805.5,,527.5,35.1,,,
Belgium,Male,2015,2433.5,226.8,52.4,,196.3,,,169.5,811.9,558.8,,394.6,23.2,,,
Belgium,Female,2015,2118.1,264.2,96.4,,521.8,,,305.7,538.5,246.7,,132.9,11.9,,,
Belgium,Total,2016,4586.4,465.6,146.9,,706.0,,,473.6,1394.7,843.2,,522.8,33.6,,,
Belgium,Male,2016,2465.4,216.4,51.7,,184.1,,,166.8,840.8,594.6,,388.4,22.7,,,
Belgium,Female,2016,2121.0,249.2,95.2,,521.9,,,306.8,553.9,248.6,,134.4,10.9,,,
Belgium,Total,2017,4637.8,484.6,133.0,,633.2,,,453.7,1267.8,882.0,,399.7,383.7,,,
Belgium,Male,2017,2495.7,219.9,49.8,,169.8,,,158.7,758.8,620.2,,294.6,224.1,,,
Belgium,Female,2017,2142.1,264.7,83.2,,463.4,,,295.0,509.1,261.9,,105.1,159.7,,,
Belgium,Total,2018,4755.2,529.3,145.8,,635.4,,,432.1,1264.2,945.1,,383.9,419.3,,,
Belgium,Male,2018,2531.3,232.9,50.7,,175.8,,,145.6,741.8,658.7,,283.3,242.6,,,
